visitorid,time_to_abandon_min,time_bucket,bucket_order
14926,"0,0",<30min,1
14966,"0,0",<30min,1
15046,"2,0585",<30min,1
15124,"1965,5895500000001",>24h,7
15147,"0,0",<30min,1
15173,"97,54671666666667",1-3h,3
15190,"0,0",<30min,1
15239,"13146,809466666666",>24h,7
15316,"0,0",<30min,1
15388,"0,0",<30min,1
15460,"0,0",<30min,1
15499,"15657,023133333334",>24h,7
15500,"0,0",<30min,1
15525,"0,0",<30min,1
15529,"15837,7322",>24h,7
15613,"0,0",<30min,1
15615,"0,46676666666666666",<30min,1
15677,"0,0",<30min,1
15685,"10,847683333333332",<30min,1
15711,"10,028183333333335",<30min,1
15723,"1516,2929166666665",>24h,7
15724,"0,0",<30min,1
15819,"0,0",<30min,1
15844,"4,5798000000000005",<30min,1
15956,"47,53805",30-60min,2
16065,"0,0",<30min,1
16103,"1335,9686",12-24h,6
16215,"2761,5442333333335",>24h,7
16229,"4,816516666666667",<30min,1
16336,"1,5771666666666666",<30min,1
16391,"0,0",<30min,1
16424,"30,904483333333335",30-60min,2
16506,"1,2746666666666668",<30min,1
16628,"0,9980166666666667",<30min,1
16722,"0,0",<30min,1
16725,"7956,475366666667",>24h,7
16769,"0,0",<30min,1
16887,"29,9788",<30min,1
16900,"4,189683333333333",<30min,1
16925,"2,1572833333333334",<30min,1
16930,"0,40876666666666667",<30min,1
17005,"0,0",<30min,1
17069,"0,0",<30min,1
17082,"0,0",<30min,1
17126,"0,5751666666666666",<30min,1
17136,"0,0",<30min,1
17165,"7,66185",<30min,1
17214,"0,0",<30min,1
17234,"10108,635016666667",>24h,7
17241,"0,0",<30min,1
17281,"3152,0460000000003",>24h,7
17362,"67075,9339",>24h,7
17503,"36,57745",30-60min,2
17534,"0,0",<30min,1
17535,"3,9793166666666666",<30min,1
17633,"0,15583333333333332",<30min,1
17752,"0,0",<30min,1
17784,"0,0",<30min,1
17893,"0,17168333333333333",<30min,1
17924,"0,5485166666666667",<30min,1
17928,"1,3459833333333333",<30min,1
17943,"0,0",<30min,1
17962,"9,34655",<30min,1
17976,"1379,0563499999998",12-24h,6
17979,"1,4535833333333334",<30min,1
18092,"4969,515",>24h,7
18107,"6,765016666666667",<30min,1
18123,"0,0",<30min,1
18168,"240,74556666666666",3-6h,4
18224,"0,28961666666666663",<30min,1
18263,"0,15838333333333335",<30min,1
18266,"0,0",<30min,1
18288,"0,02195",<30min,1
18332,"0,0",<30min,1
18405,"0,0",<30min,1
18606,"2,2662",<30min,1
18614,"0,0",<30min,1
18632,"0,0",<30min,1
18660,"41,11118333333333",30-60min,2
18771,"4300,718383333334",>24h,7
18787,"3,952516666666667",<30min,1
18878,"6,910633333333333",<30min,1
18883,"3998,70005",>24h,7
18911,"0,0",<30min,1
18934,"75665,01156666667",>24h,7
18977,"0,0",<30min,1
18992,"0,0",<30min,1
19167,"0,0",<30min,1
19184,"21,849249999999998",<30min,1
19192,"0,0",<30min,1
19224,"111132,1194",>24h,7
19232,"0,0",<30min,1
19233,"0,08545",<30min,1
19271,"0,0",<30min,1
19322,"40,94251666666666",30-60min,2
19369,"0,0",<30min,1
19389,"0,0",<30min,1
19589,"2,68455",<30min,1
19603,"47,051233333333336",30-60min,2
19620,"3,74165",<30min,1
19641,"0,0",<30min,1
19682,"47118,52306666667",>24h,7
19780,"95295,28148333334",>24h,7
19849,"525,5056333333333",6-12h,5
20018,"0,0",<30min,1
20052,"20,720033333333333",<30min,1
20058,"0,0",<30min,1
20103,"1,9626833333333333",<30min,1
20158,"657,7752166666667",6-12h,5
20178,"0,0",<30min,1
20283,"0,0",<30min,1
20296,"0,0",<30min,1
20335,"99580,34261666666",>24h,7
20358,"46,33283333333333",30-60min,2
20362,"0,0",<30min,1
20375,"85198,22371666667",>24h,7
20454,"0,0",<30min,1
20460,"0,21683333333333332",<30min,1
20462,"0,0",<30min,1
20549,"15,019233333333334",<30min,1
20570,"0,0",<30min,1
20582,"1,7264666666666666",<30min,1
20666,"0,0",<30min,1
20761,"53274,09568333333",>24h,7
20787,"0,0",<30min,1
20811,"55836,27091666667",>24h,7
20817,"1,5540666666666667",<30min,1
20832,"1179,3515333333335",12-24h,6
20839,"0,0",<30min,1
20854,"2,4363666666666663",<30min,1
20870,"1,0082333333333333",<30min,1
20889,"0,0",<30min,1
20912,"13183,033433333334",>24h,7
20932,"1,7261",<30min,1
20986,"5,1076500000000005",<30min,1
21189,"0,0",<30min,1
21233,"4234,088083333333",>24h,7
21283,"0,0",<30min,1
21295,"4510,501399999999",>24h,7
21311,"0,0",<30min,1
21460,"0,0",<30min,1
21483,"0,0",<30min,1
21492,"0,23086666666666666",<30min,1
21525,"933,8633333333333",12-24h,6
21588,"5,7054",<30min,1
21593,"0,0",<30min,1
21601,"2889,680083333333",>24h,7
21604,"0,0",<30min,1
21650,"15941,024249999999",>24h,7
21673,"0,0",<30min,1
21685,"0,6314666666666666",<30min,1
21724,"22809,00558333333",>24h,7
21753,"0,0",<30min,1
21775,"0,0",<30min,1
21780,"1,9852999999999998",<30min,1
21800,"0,1595",<30min,1
21866,"1,0044833333333334",<30min,1
21902,"0,0",<30min,1
22011,"3,0172833333333333",<30min,1
22035,"0,0",<30min,1
22038,"6,128183333333333",<30min,1
22084,"4,902683333333333",<30min,1
22161,"0,0",<30min,1
22181,"0,0",<30min,1
22202,"0,0",<30min,1
22474,"1,3846999999999998",<30min,1
22606,"178316,61933333334",>24h,7
22651,"0,0",<30min,1
22665,"0,0",<30min,1
22735,"0,0",<30min,1
22764,"0,0",<30min,1
22771,"136,18191666666667",1-3h,3
22777,"2,2953333333333332",<30min,1
22970,"0,0",<30min,1
23005,"41489,198650000006",>24h,7
23206,"118026,90676666667",>24h,7
23401,"1216,3367833333332",12-24h,6
23460,"376,40250000000003",6-12h,5
23541,"0,0",<30min,1
23569,"4940,047916666666",>24h,7
23668,"0,0",<30min,1
23747,"0,1138",<30min,1
23757,"7159,863283333334",>24h,7
23765,"38111,281500000005",>24h,7
23775,"14,778966666666667",<30min,1
23777,"1258,3128499999998",12-24h,6
23823,"0,20981666666666668",<30min,1
23837,"0,0",<30min,1
23840,"0,0",<30min,1
23843,"2866,9145999999996",>24h,7
23852,"0,0",<30min,1
23861,"84954,64138333334",>24h,7
23876,"22494,90508333333",>24h,7
23887,"405,93651666666665",6-12h,5
24102,"361,2989",6-12h,5
24129,"936,7109166666667",12-24h,6
24373,"1,2686333333333333",<30min,1
24446,"2,933966666666667",<30min,1
24504,"0,0",<30min,1
24583,"0,0",<30min,1
24611,"0,0",<30min,1
24708,"35,70591666666667",30-60min,2
24757,"73607,60778333334",>24h,7
24787,"0,0",<30min,1
24838,"11203,394549999999",>24h,7
24907,"0,0",<30min,1
24943,"59282,33998333334",>24h,7
24967,"17,828433333333333",<30min,1
25008,"0,0",<30min,1
25070,"0,0",<30min,1
25139,"0,0",<30min,1
25294,"3,003133333333333",<30min,1
25367,"7068,767583333333",>24h,7
25634,"126556,43036666667",>24h,7
25728,"0,0",<30min,1
25784,"3,5112",<30min,1
25890,"15957,06855",>24h,7
25985,"0,0",<30min,1
26007,"21806,33915",>24h,7
26067,"0,0",<30min,1
26077,"0,0",<30min,1
26191,"0,0",<30min,1
26196,"0,038033333333333336",<30min,1
26222,"116,02293333333334",1-3h,3
26276,"0,0",<30min,1
26296,"10187,001016666667",>24h,7
26315,"0,0",<30min,1
26377,"0,0",<30min,1
26429,"20,430366666666664",<30min,1
26493,"3698,254933333333",>24h,7
26502,"12,081150000000001",<30min,1
26524,"0,28245",<30min,1
26543,"0,0",<30min,1
26608,"0,0",<30min,1
26628,"0,0",<30min,1
26759,"0,0",<30min,1
26809,"24,254366666666666",<30min,1
26820,"2,015066666666667",<30min,1
26825,"4256,1667",>24h,7
26867,"1,6446166666666668",<30min,1
26906,"0,0",<30min,1
26912,"10735,488966666666",>24h,7
26954,"3,051083333333333",<30min,1
26998,"1,0849833333333334",<30min,1
27057,"0,0",<30min,1
27111,"8970,988133333332",>24h,7
27143,"2901,1730333333335",>24h,7
27288,"1002,4692833333334",12-24h,6
27418,"2,822866666666667",<30min,1
27458,"0,06771666666666666",<30min,1
27466,"0,0",<30min,1
27490,"0,0",<30min,1
27527,"1326,5872333333332",12-24h,6
27566,"0,0",<30min,1
27569,"0,0",<30min,1
27704,"2360,376733333333",>24h,7
27744,"0,0",<30min,1
27747,"1866,2063333333333",>24h,7
27835,"0,6501166666666667",<30min,1
27889,"1548,0859500000001",>24h,7
27910,"0,0",<30min,1
27941,"6,2539",<30min,1
27945,"0,0",<30min,1
28012,"0,0",<30min,1
28024,"14,969983333333333",<30min,1
28035,"13,447733333333334",<30min,1
28113,"0,0005333333333333334",<30min,1
28155,"12,593216666666667",<30min,1
28158,"32,162216666666666",30-60min,2
28238,"5,184733333333333",<30min,1
28294,"0,0",<30min,1
28359,"1,2609166666666667",<30min,1
28436,"0,16219999999999998",<30min,1
28448,"10,045483333333333",<30min,1
28467,"90658,20136666668",>24h,7
28480,"0,0",<30min,1
28669,"0,0",<30min,1
28742,"40251,14946666666",>24h,7
28769,"0,0",<30min,1
28850,"24478,74496666667",>24h,7
28925,"18708,74311666667",>24h,7
28995,"118050,2441",>24h,7
29110,"9,061466666666666",<30min,1
29136,"45,4375",30-60min,2
29149,"4,7631499999999996",<30min,1
29162,"0,6681166666666667",<30min,1
29206,"0,0",<30min,1
29309,"45044,1645",>24h,7
29314,"5,510316666666667",<30min,1
29317,"0,0",<30min,1
29346,"2,9781166666666667",<30min,1
29383,"0,0",<30min,1
29392,"0,0",<30min,1
29474,"8,267516666666667",<30min,1
29482,"2,1104666666666665",<30min,1
29483,"32,76338333333334",30-60min,2
29522,"0,7623166666666666",<30min,1
29570,"0,006333333333333333",<30min,1
29640,"0,0",<30min,1
29653,"0,0",<30min,1
29697,"0,0",<30min,1
29730,"6,6147833333333335",<30min,1
29737,"0,5212166666666667",<30min,1
29758,"149025,9613",>24h,7
29766,"1780,7167666666667",>24h,7
29921,"1872,4748666666667",>24h,7
29966,"17203,148933333334",>24h,7
30034,"0,0",<30min,1
30040,"7,117766666666666",<30min,1
30087,"71,2983",1-3h,3
30168,"0,0",<30min,1
30173,"0,0",<30min,1
30323,"8,85225",<30min,1
30325,"10452,029516666666",>24h,7
30344,"0,0",<30min,1
30391,"0,0",<30min,1
30421,"0,0",<30min,1
30473,"1,8522333333333334",<30min,1
30537,"0,0",<30min,1
30571,"0,0",<30min,1
30620,"8997,828116666667",>24h,7
30625,"0,0",<30min,1
30628,"27902,906133333334",>24h,7
30649,"17102,102683333334",>24h,7
30708,"0,0",<30min,1
30786,"2,290833333333333",<30min,1
30863,"147978,68101666667",>24h,7
30873,"0,0",<30min,1
30903,"21289,218966666667",>24h,7
30908,"0,0",<30min,1
30959,"0,0",<30min,1
31029,"3613,6126999999997",>24h,7
31093,"446,54268333333334",6-12h,5
31174,"55998,40293333333",>24h,7
31217,"0,3579833333333333",<30min,1
31225,"2,145233333333333",<30min,1
31299,"4,627466666666667",<30min,1
31311,"0,0",<30min,1
31352,"4,884883333333334",<30min,1
31397,"19,670333333333335",<30min,1
31409,"0,0",<30min,1
31421,"0,0",<30min,1
31423,"691,05985",6-12h,5
31518,"0,0",<30min,1
31519,"0,0",<30min,1
31533,"0,7927166666666667",<30min,1
31544,"0,0",<30min,1
31684,"3,3866333333333336",<30min,1
31761,"30916,983533333336",>24h,7
31762,"0,0",<30min,1
31869,"0,0",<30min,1
31876,"32,97388333333333",30-60min,2
31933,"0,0",<30min,1
31953,"0,5545000000000001",<30min,1
32037,"1,6317833333333334",<30min,1
32108,"0,0",<30min,1
32241,"0,0",<30min,1
32413,"52791,719783333334",>24h,7
32427,"55904,39721666667",>24h,7
32468,"0,5772333333333334",<30min,1
32503,"13166,664083333333",>24h,7
32528,"0,21185",<30min,1
32754,"25,076133333333335",<30min,1
32768,"216,68618333333333",3-6h,4
32775,"1,3329333333333333",<30min,1
32855,"0,0",<30min,1
32857,"12752,7425",>24h,7
32861,"0,0",<30min,1
32917,"0,0",<30min,1
32920,"15591,179283333333",>24h,7
33006,"2,078116666666667",<30min,1
33018,"0,0",<30min,1
33047,"0,0",<30min,1
33078,"2,4088166666666666",<30min,1
33084,"33040,0833",>24h,7
33353,"0,0",<30min,1
33405,"0,0",<30min,1
33482,"38,179700000000004",30-60min,2
33483,"2792,380866666667",>24h,7
33541,"0,11946666666666667",<30min,1
33581,"29,33341666666667",<30min,1
33604,"4092,6611333333335",>24h,7
33625,"0,0",<30min,1
33674,"8,10655",<30min,1
33679,"4,336566666666667",<30min,1
33682,"32381,2896",>24h,7
33804,"2523,804016666667",>24h,7
33872,"24218,480233333332",>24h,7
33877,"3,4886333333333335",<30min,1
33940,"0,0",<30min,1
34150,"68888,84556666667",>24h,7
34164,"24358,762250000003",>24h,7
34210,"0,0",<30min,1
34289,"22,8932",<30min,1
34327,"5134,4517166666665",>24h,7
34417,"2,380533333333333",<30min,1
34426,"358,99701666666664",3-6h,4
34672,"0,0",<30min,1
34687,"5743,092033333333",>24h,7
34729,"105942,97959999999",>24h,7
34742,"0,36321666666666663",<30min,1
34761,"9,1668",<30min,1
34800,"0,0",<30min,1
34844,"3,1540666666666666",<30min,1
34849,"55,258516666666665",30-60min,2
34899,"0,2897666666666667",<30min,1
34918,"0,0",<30min,1
34931,"5766,07945",>24h,7
34953,"5689,28555",>24h,7
34971,"0,0",<30min,1
34994,"0,0",<30min,1
35002,"13,407133333333332",<30min,1
35038,"0,0",<30min,1
35138,"0,0",<30min,1
35202,"3643,0783500000002",>24h,7
35216,"10243,945466666666",>24h,7
35231,"0,0",<30min,1
35258,"2,5647499999999996",<30min,1
35412,"0,30734999999999996",<30min,1
35444,"336,14483333333334",3-6h,4
35482,"0,0",<30min,1
35502,"0,12925",<30min,1
35506,"0,0",<30min,1
35520,"1068,68515",12-24h,6
35526,"0,0",<30min,1
35531,"0,0",<30min,1
35559,"0,0",<30min,1
35572,"0,0",<30min,1
35593,"1589,3936833333332",>24h,7
35667,"15,021700000000001",<30min,1
35713,"0,0",<30min,1
35725,"0,0",<30min,1
35759,"4,159933333333333",<30min,1
35766,"0,0",<30min,1
35958,"35696,84565",>24h,7
36041,"0,0",<30min,1
36076,"53519,258383333334",>24h,7
36078,"432,03145",6-12h,5
36281,"2575,3847333333333",>24h,7
36410,"109,46679999999999",1-3h,3
36560,"0,0",<30min,1
36659,"44761,107716666666",>24h,7
36668,"0,12588333333333332",<30min,1
36694,"2,3684833333333333",<30min,1
36737,"0,0",<30min,1
36831,"0,0",<30min,1
36836,"0,6869166666666667",<30min,1
36840,"1,9819666666666669",<30min,1
36854,"0,0",<30min,1
37022,"1,1462",<30min,1
37032,"0,0",<30min,1
37058,"24,42076666666667",<30min,1
37059,"33,95608333333333",30-60min,2
37096,"14546,450433333333",>24h,7
37258,"3,1521833333333333",<30min,1
37279,"98184,81621666667",>24h,7
37318,"9,560316666666667",<30min,1
37346,"9295,205483333333",>24h,7
37380,"0,5541333333333333",<30min,1
37458,"0,0",<30min,1
37464,"0,0",<30min,1
37549,"1,4909166666666667",<30min,1
37600,"0,06141666666666667",<30min,1
37686,"0,0",<30min,1
37839,"0,0",<30min,1
37868,"1117,6781166666667",12-24h,6
37875,"27001,89455",>24h,7
37904,"0,0",<30min,1
37943,"0,0",<30min,1
37958,"0,0",<30min,1
37975,"8533,128383333333",>24h,7
38010,"32,97013333333334",30-60min,2
38084,"323,6432833333334",3-6h,4
38100,"0,0",<30min,1
38128,"0,0",<30min,1
38129,"0,0",<30min,1
38141,"0,0",<30min,1
38147,"0,0",<30min,1
38195,"0,0",<30min,1
38229,"5543,596116666667",>24h,7
38264,"379,21465",6-12h,5
38286,"0,0",<30min,1
38365,"0,0",<30min,1
38397,"0,0",<30min,1
38483,"0,0",<30min,1
38521,"0,0",<30min,1
38560,"5,09715",<30min,1
38578,"0,0",<30min,1
38589,"0,0",<30min,1
38727,"0,0",<30min,1
38745,"0,0",<30min,1
38748,"0,0",<30min,1
38773,"0,0",<30min,1
38861,"0,9658333333333334",<30min,1
38924,"117359,57541666667",>24h,7
38940,"1277,45065",12-24h,6
38941,"0,0",<30min,1
38967,"450,2475333333333",6-12h,5
39027,"30,7742",30-60min,2
39124,"0,0",<30min,1
39134,"0,0",<30min,1
39164,"1340,2970833333334",12-24h,6
39257,"0,0",<30min,1
39300,"0,0",<30min,1
39336,"0,9311166666666666",<30min,1
39386,"0,0",<30min,1
39448,"0,0",<30min,1
39450,"17,418799999999997",<30min,1
39516,"17,657249999999998",<30min,1
39526,"13,551866666666665",<30min,1
39642,"0,0",<30min,1
39660,"0,0",<30min,1
39772,"11,067983333333332",<30min,1
39802,"0,0",<30min,1
39823,"3370,8216166666666",>24h,7
39874,"3,5876333333333337",<30min,1
39928,"16066,706083333333",>24h,7
40057,"0,3735",<30min,1
40107,"14,232216666666666",<30min,1
40110,"0,0",<30min,1
40201,"0,0",<30min,1
40226,"2,5545833333333334",<30min,1
40230,"0,0",<30min,1
40268,"0,0",<30min,1
40386,"5,1196",<30min,1
40490,"12,738316666666666",<30min,1
40514,"5,432816666666667",<30min,1
40567,"0,0",<30min,1
40570,"0,2342",<30min,1
40627,"0,0",<30min,1
40651,"0,6982666666666667",<30min,1
40688,"12,167266666666666",<30min,1
40725,"146,71985",1-3h,3
40904,"5762,918900000001",>24h,7
40950,"0,0",<30min,1
40994,"0,0",<30min,1
41028,"0,8007833333333333",<30min,1
41089,"3,872183333333333",<30min,1
41116,"0,0",<30min,1
41155,"0,14566666666666667",<30min,1
41163,"0,0",<30min,1
41168,"0,0",<30min,1
41203,"3,78575",<30min,1
41283,"0,0",<30min,1
41298,"0,0",<30min,1
41300,"0,0",<30min,1
41310,"0,0",<30min,1
41351,"0,0",<30min,1
41353,"24103,416816666668",>24h,7
41378,"0,42031666666666667",<30min,1
41407,"83,23246666666667",1-3h,3
41430,"0,37526666666666664",<30min,1
41483,"0,0",<30min,1
41532,"1,2279333333333333",<30min,1
41575,"28961,35345",>24h,7
41604,"0,2609666666666667",<30min,1
41623,"7877,33675",>24h,7
41664,"1,2803666666666667",<30min,1
41702,"26936,78865",>24h,7
41708,"0,23105",<30min,1
41751,"0,0",<30min,1
41777,"0,0",<30min,1
41808,"19802,72221666667",>24h,7
41837,"149183,60701666668",>24h,7
41889,"12,794116666666667",<30min,1
41957,"0,0",<30min,1
42005,"88086,86368333334",>24h,7
42169,"0,0",<30min,1
42298,"0,3047833333333333",<30min,1
42355,"0,0",<30min,1
42393,"3,13245",<30min,1
42430,"0,9148833333333334",<30min,1
42431,"0,0",<30min,1
42493,"0,0",<30min,1
42538,"12960,673666666667",>24h,7
42539,"1,3040666666666667",<30min,1
42586,"1,5563833333333332",<30min,1
42818,"0,0",<30min,1
